MCC,"Medley Capital Corporation",https://www.nyse.com/quote/XNYS:MCC,0.64,10.51,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=MCC&f=opdr1y&e=.csv"",""open"":""6.08"",""close"":""6.13"",""dividend"":""0.64"",""div paydate"":""6\/23\/2017"",""div yield"":""10.51""}",7056.2293274531
MDLY,"Medley Management Inc. Class A",https://www.nyse.com/quote/XNYS:MDLY,0.80,13.79,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=MDLY&f=opdr1y&e=.csv"",""open"":""5.75"",""close"":""5.75"",""dividend"":""0.80"",""div paydate"":""5\/31\/2017"",""div yield"":""13.79""}",8820.2866593164
MTR,"Mesa Royalty Trust",https://www.nyse.com/quote/XNYS:MTR,1.35,10.91,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=MTR&f=opdr1y&e=.csv"",""open"":""13.25"",""close"":""13.00"",""dividend"":""1.35"",""div paydate"":""7\/31\/2017"",""div yield"":""10.91""}",14884.233737596
MVO,"MV Oil Trust Units of Beneficial Interests",https://www.nyse.com/quote/XNYS:MVO,1.00,16.50,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=MVO&f=opdr1y&e=.csv"",""open"":""5.94"",""close"":""5.94"",""dividend"":""1.00"",""div paydate"":""4\/25\/2017"",""div yield"":""16.50""}",11025.358324146
NAP,"Navios Maritime Midstream Partners LP Common Units &lt;b&gt;...&lt;/b&gt;",https://www.nyse.com/quote/XNYS:NAP,1.69,16.41,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=NAP&f=opdr1y&e=.csv"",""open"":""10.42"",""close"":""10.45"",""dividend"":""1.69"",""div paydate"":""5\/11\/2017"",""div yield"":""16.41""}",18632.855567806
NAT,"Nordic American Tankers Limited",https://www.nyse.com/quote/XNYS:NAT,0.80,13.42,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=NAT&f=opdr1y&e=.csv"",""open"":""6.37"",""close"":""6.36"",""dividend"":""0.80"",""div paydate"":""6\/8\/2017"",""div yield"":""13.42""}",8820.2866593164
NEWM,"New Media Investment Group Inc.",https://www.nyse.com/quote/XNYS:NEWM,1.40,10.83,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=NEWM&f=opdr1y&e=.csv"",""open"":""13.11"",""close"":""13.15"",""dividend"":""1.40"",""div paydate"":""5\/18\/2017"",""div yield"":""10.83""}",15435.501653804
NGL,"NGL ENERGY PARTNERS LP Common Units &lt;b&gt;...&lt;/b&gt;",https://www.nyse.com/quote/XNYS:NGL,1.56,11.47,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=NGL&f=opdr1y&e=.csv"",""open"":""13.80"",""close"":""13.90"",""dividend"":""1.56"",""div paydate"":""5\/15\/2017"",""div yield"":""11.47""}",17199.558985667
NNA,"Navios Maritime Acquisition Corporation Common stock",https://www.nyse.com/quote/XNYS:NNA,0.20,13.89,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=NNA&f=opdr1y&e=.csv"",""open"":""1.59"",""close"":""1.58"",""dividend"":""0.20"",""div paydate"":""6\/14\/2017"",""div yield"":""13.89""}",2205.0716648291
NRT,"North European Oil Royality Trust",https://www.nyse.com/quote/XNYS:NRT,0.76,10.46,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=NRT&f=opdr1y&e=.csv"",""open"":""7.20"",""close"":""7.23"",""dividend"":""0.76"",""div paydate"":""5\/31\/2017"",""div yield"":""10.46""}",8379.2723263506
OCIP,"OCI Partners LP Common Units representing Limited &lt;b&gt;...&lt;/b&gt;",https://www.nyse.com/quote/XNYS:OCIP,0.92,10.17,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=OCIP&f=opdr1y&e=.csv"",""open"":""8.85"",""close"":""8.85"",""dividend"":""0.92"",""div paydate"":""6\/5\/2017"",""div yield"":""10.17""}",10143.329658214
PER,"SandRidge Permian Trust Common Units of Benficial &lt;b&gt;...&lt;/b&gt;",https://www.nyse.com/quote/XNYS:PER,0.50,16.80,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=PER&f=opdr1y&e=.csv"",""open"":""2.95"",""close"":""2.95"",""dividend"":""0.50"",""div paydate"":""5\/26\/2017"",""div yield"":""16.80""}",5512.6791620728
SDLP,"Seadrill Partners LLC Common Units Representing &lt;b&gt;...&lt;/b&gt;",https://www.nyse.com/quote/XNYS:SDLP,0.40,11.76,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=SDLP&f=opdr1y&e=.csv"",""open"":""3.30"",""close"":""3.34"",""dividend"":""0.40"",""div paydate"":""2\/14\/2017"",""div yield"":""11.76""}",4410.1433296582
SDR,"SandRidge Mississippian Trust II Common Units &lt;b&gt;...&lt;/b&gt;",https://www.nyse.com/quote/XNYS:SDR,0.24,16.92,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=SDR&f=opdr1y&e=.csv"",""open"":""1.43"",""close"":""1.45"",""dividend"":""0.24"",""div paydate"":""5\/26\/2017"",""div yield"":""16.92""}",2646.0859977949
SDT,"SandRidge Mississippian Trust I Common Units of &lt;b&gt;...&lt;/b&gt;",https://www.nyse.com/quote/XNYS:SDT,0.28,19.36,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=SDT&f=opdr1y&e=.csv"",""open"":""1.47"",""close"":""1.49"",""dividend"":""0.28"",""div paydate"":""5\/26\/2017"",""div yield"":""19.36""}",3087.1003307608
SFL,"Ship Finance International Limited",https://www.nyse.com/quote/XNYS:SFL,1.80,13.33,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=SFL&f=opdr1y&e=.csv"",""open"":""13.95"",""close"":""13.95"",""dividend"":""1.80"",""div paydate"":""3\/30\/2017"",""div yield"":""13.33""}",19845.644983462
SPH,"Suburban Propane Partners, LP",https://www.nyse.com/quote/XNYS:SPH,3.55,15.02,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=SPH&f=opdr1y&e=.csv"",""open"":""23.98"",""close"":""23.94"",""dividend"":""3.55"",""div paydate"":""5\/9\/2017"",""div yield"":""15.02""}",39140.022050717
SPP,"Sanchez Production Partners LP",https://www.nyse.com/quote/XASE:SPP,1.75,12.64,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=SPP&f=opdr1y&e=.csv"",""open"":""14.25"",""close"":""14.10"",""dividend"":""1.75"",""div paydate"":""5\/31\/2017"",""div yield"":""12.64""}",19294.377067255
SSW,"Seaspan Corporation Seaspan Corporation",https://www.nyse.com/quote/XNYS:SSW,1.25,24.08,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=SSW&f=opdr1y&e=.csv"",""open"":""5.68"",""close"":""5.65"",""dividend"":""1.25"",""div paydate"":""5\/1\/2017"",""div yield"":""24.08""}",13781.697905182
