NEWM,"New Media Investment Group Inc.",https://www.nyse.com/quote/XNYS:NEWM,1.40,10.83,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=NEWM&f=opdr1ye&e=.csv"",""open"":""13.11"",""close"":""13.15"",""dividend"":""1.40"",""div paydate"":""5\/18\/2017"",""div yield"":""10.83"",""eps"":""0.49""}",0.49,2.8571428571429,21905.805038335
NGL,"NGL ENERGY PARTNERS LP Common Units &lt;b&gt;...&lt;/b&gt;",https://www.nyse.com/quote/XNYS:NGL,1.56,11.47,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=NGL&f=opdr1ye&e=.csv"",""open"":""13.80"",""close"":""13.90"",""dividend"":""1.56"",""div paydate"":""5\/15\/2017"",""div yield"":""11.47"",""eps"":""0.95""}",0.95,1.6421052631579,24409.325614145
NNA,"Navios Maritime Acquisition Corporation Common stock",https://www.nyse.com/quote/XNYS:NNA,0.20,13.89,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=NNA&f=opdr1ye&e=.csv"",""open"":""1.59"",""close"":""1.58"",""dividend"":""0.20"",""div paydate"":""6\/14\/2017"",""div yield"":""13.89"",""eps"":""0.28""}",0.28,0.71428571428571,3129.4007197622
NRT,"North European Oil Royality Trust",https://www.nyse.com/quote/XNYS:NRT,0.76,10.46,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=NRT&f=opdr1ye&e=.csv"",""open"":""7.20"",""close"":""7.23"",""dividend"":""0.76"",""div paydate"":""5\/31\/2017"",""div yield"":""10.46"",""eps"":""0.62""}",0.62,1.2258064516129,11891.722735096
OCIP,"OCI Partners LP Common Units representing Limited &lt;b&gt;...&lt;/b&gt;",https://www.nyse.com/quote/XNYS:OCIP,N/A,10.17,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=OCIP&f=opdr1ye&e=.csv"",""open"":""8.85"",""close"":""8.85"",""dividend"":""N\/A"",""div paydate"":""6\/5\/2017"",""div yield"":""10.17"",""eps"":0}",0,-1,0
PER,"SandRidge Permian Trust Common Units of Benficial &lt;b&gt;...&lt;/b&gt;",https://www.nyse.com/quote/XNYS:PER,0.50,16.80,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=PER&f=opdr1ye&e=.csv"",""open"":""2.95"",""close"":""2.95"",""dividend"":""0.50"",""div paydate"":""5\/26\/2017"",""div yield"":""16.80"",""eps"":""0.47""}",0.47,1.063829787234,7823.5017994054
SDLP,"Seadrill Partners LLC Common Units Representing &lt;b&gt;...&lt;/b&gt;",https://www.nyse.com/quote/XNYS:SDLP,0.40,11.76,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=SDLP&f=opdr1ye&e=.csv"",""open"":""3.30"",""close"":""3.34"",""dividend"":""0.40"",""div paydate"":""2\/14\/2017"",""div yield"":""11.76"",""eps"":""3.26""}",3.26,0.12269938650307,6258.8014395243
SDR,"SandRidge Mississippian Trust II Common Units &lt;b&gt;...&lt;/b&gt;",https://www.nyse.com/quote/XNYS:SDR,0.24,16.92,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=SDR&f=opdr1ye&e=.csv"",""open"":""1.43"",""close"":""1.45"",""dividend"":""0.24"",""div paydate"":""5\/26\/2017"",""div yield"":""16.92"",""eps"":""0.25""}",0.25,0.96,3755.2808637146
SDT,"SandRidge Mississippian Trust I Common Units of &lt;b&gt;...&lt;/b&gt;",https://www.nyse.com/quote/XNYS:SDT,0.28,19.36,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=SDT&f=opdr1ye&e=.csv"",""open"":""1.47"",""close"":""1.49"",""dividend"":""0.28"",""div paydate"":""5\/26\/2017"",""div yield"":""19.36"",""eps"":""0.29""}",0.29,0.96551724137931,4381.161007667
SFL,"Ship Finance International Limited",https://www.nyse.com/quote/XNYS:SFL,1.80,13.33,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=SFL&f=opdr1ye&e=.csv"",""open"":""13.95"",""close"":""13.95"",""dividend"":""1.80"",""div paydate"":""3\/30\/2017"",""div yield"":""13.33"",""eps"":""1.41""}",1.41,1.2765957446809,28164.606477859
